APRIL	Lambamai; 
falling	-tsa; 
falls	wa;  tsa ha ndeme; 
familiar	ḓowela;  ḓowelea; 
families	muṱa; 
family	muṱa; 
famous	ḓivheaho; 
fan	fene; 
fans	fene; zwipelepelu; 
far	kule; 
farewell	onesa; u phia zwavhuḓi;  nyonesano; 
farm	 lima na u fuwa; bulasi; 
farmers	vhorabulasi; 
farming	vhubulasi; 
farms	vhalimivhafuwi; bulasi; 
fashion	fesheni; 
fast	-ḓidzima; 
faster	ḓidzima; 
father	khotsi; 
fathers	khotsi; 
fault	 -wana vhukhakhi; khakheaho; 
favorite	tshitakalelwa; takalelwaho; 
favorites	tshitakalelwa; takalelwaho; 
favour	tshilidzi; 
favourable	funwaho;  takalelwaho; 
favourite	takalelwaho; 
fax	fekisi; 
faxed	fekisi; 
fear	nyofho; 
fears	nyofho; 
feasibility	 koneaho; iteaho; 
feature	 mafhungo a tshipentshela; mbonalo; 
featured	 mafhungo a tshipentshela; mbonalo; 
features	 mafhungo a tshipentshela; mbonalo; 
featuring	 mafhungo a tshipentshela; mbonalo; 
federal	muvhuso;  lushaka;  tshitshavha; 
federation	feḓerasi; 
fee	 tshelede; mbadelo; 
feed	 -ṋea zwiḽiwa; unḓa; 
feedback	khumelamurahu; 
feeds	 ṋea zwiḽiwa; unḓa; 
feel	fara;  pfa;  phuphuledza;  dodonga; 
fees	 tshelede; mbadelo; 
fell	 wa;  tsa ha ndeme; 
fellow	khonani;  thanga;  murole; 
felt	fara;  pfa;  phuphuledza;  dodonga; 
female	 -tshikadzi;  -tshisadzini; tshisadzi; 
females	 tshikadzi; tshisadzini;  tshisadzi; 
festival	vhuṱambo; 
festivals	vhuṱambo; 
festive	madakalo; 
fever	mufhiso; 
few	 -si gathi; zwiṱuku; 
fewer	 zwi si gathi; zwiṱuku; 
field	 tsimu; gammba; 
fields	 masimu; gammba; 
fifth	tsha vhuṱanu; 
fifty	fuṱhanu; 
fight	nndwa; 
fighter	mulwi; 
fighters	vhalwi; 
fighting	nndwa; 
figure	 sifhere; figara; 
figures	 sifhere; ḽiambe;  le; figara; 
file	 -feila; faela;  feila; 
filed	faela;  feila; 
files	faela;  feila; 
filing	faela;  feila; 
fill	ḓadzisa; ṱhophela;  ḓadza; 
filled	ṱhophiwa;  ḓadzwa; ḓadziswa; 
film	fiḽimu; 
filmmakers	muitafiḽimu; 
filmmaking	 vhusikabaisikopo; vhubveledzafiḽimu;  vhusikafiḽimu; 
films	fiḽimu; 
final	makhaulatshele; 
finalisation	 vuledza;  guma; fhedzisa;  phetha; 
finalise	 vuledza; phetha; guma; fhedza; 
finalised	 vuledza;  guma; fhedza;  phetha; 
finalising	 vuledza;  guma; fhedzisa;  phetha; 
finally	magumoni;  mafhedziseloni; 
finance	badela;  gwama; 
financed	badela;  gwama; 
finances	badela;  gwama; 
financial	zwa tshelede; 
financially	zwa masheleni; zwa tshelede; 
financing	badela;  gwama; 
find	-wana; 
finding	mawanwa; 
findings	mawanwa; 
finds	wana; 
fine	 lifhisa;  -suvhelelaho; mulifho;  ḽo tsha; 
fines	 lifhisa; ndaṱiso;  mulifho;  suvhelelaho; 
finest	 lifhisa; mulifho;  ḽo tsha;  suvhelelaho; 
fingerprints	ganḓisa magunwe;  khanḓiso dza minwe; magunwe; 
fire	mulilo; 
firearm	tshigidi; 
firearms	zwigwada; 
firm	-khwaṱhaho; 
firmly	nga maanḓa;  nga u khwaṱha; 
firms	khwaṱhaho; 
first	mathomo; 
firstly	 tsha u ranga; tsha phanḓa;  tsha u thoma; 
fiscal	muthelo; 
fish	khovhe; 
fisheries	vhureakhovhe; 
fishery	vhureakhovhe; 
fishing	vhureakhovhe;  -rea khovhe; 
fit	vili;  u vha na mutakalo;  u khwaṱhelela; 
fitting	 eḓanaho; teaho;  lugisa;  dzhenisa;  linganaho;  fanelaho; 
five	ṱhanu; 
five-year	zwa miṅwaha miṱanu; 
fixed	 tewa;  khwaṱhiswa; khwaṱhaho;  imiswa;  tshi sa dzinginyei;  lugiswa;  tetshelwa;  tshi sa tsukunyei; 
flag	fuḽaga;  fulaha; 
flags	fuḽaga;  fulaha; 
flagship	 tshikepe tsha nndwani;  pfufho; nṱha; ṋaledzi;  rangaphanḓa; 
flame	khavhu; 
flexibility	vhutepe; 
flexible	-tepaho; 
flood	 muḓalo; ḓala; 
floods	 muḓalo; ḓala; 
floor	 fuloro; fhasi;  tshitizi; 
flora	zwimela; 
floral	-maluvha; 
flow	muelelo; 
flower	dzuvha; 
flows	muelelo; 
fly	thunzi;  -fhufha;  u fhufha; 
flying	fhufha;  zwi fhufhaho; 
focus	lumba; 
focused	lumba; 
focuses	lumba; 
focusing	lumba; 
follow	 tevhekana; tevhela; 
followed	tevhelwa;  sala murahu; 
following	 ḓaho; tevhelaho; 
follows	 ḓaho; tevhelaho; 
food	zwiḽiwa; 
foot	mulenzhe;  futhi;  lwayo; 
football	futhibola; 
footsteps	 mitsindo; vhuṱala; 
for	zwa;  nga nṱhani ha uri;  ngauri; 
force	 maanḓa;  -kombetshedza; nungo; 
forced	kombetshedzwa; susumedzwa; 
forces	 maanḓa;  nungo; kombetshedza; 
forebears	 ṱutshela;  vhomakhulukuku; litsha; 
forefront	phanḓa; 
foreign	 -sili; mutsinda; 
foreigner	mubvannḓa;  musili; 
foreigners	vhasili; vhabvannḓa; 
forensic	forentsiki; 
forest	ḓaka; 
forests	ḓaka; 
forever	tshifhinga tshiṅwe na tshiṅwemisi yoṱhe;  tshifhinga tshoṱhe;  lini na lini; tshikhathi tshiṅwe na tshiṅwe; 
forfeited	 xelelwa;  lozwa; balelwa; 
forge	-bea; 
forged	bea; shondo; 
forget	hangwa;  livhala; 
form	 -humba;  tshivhumbeo;  -vhumba; fomo;  bannga; 
formal	-pfanelo; 
formally	 phanḓa; fomaḽa;  lwa tshiofisi; 
format	fometha; tshivhumbeo; 
formation	 mbumbo;  kuvhekanyele kwa vhatambi;  tshivhumbeo tsha matshinele; tsiko; 
formations	 mbumbo;  kuvhekanyele kwa vhatambi;  tshivhumbeo tsha matshinele; tsiko; 
formed	 vhumba;  tshivhumbeo; fomo;  bannga;  humba; 
former	-phanḓa; 
formerly	kale;  u thomani;  u rangani; 
forms	 vhumba; fomo;  bannga;  humba;  zwivhumbeo; 
formula	dandululo; 
formulation	 u vhumbiwa;  u thomiwa;  u sikiwa; thandululo; 
forth	phanḓa; 
forthcoming	zwine zwa ḓo bvelela; 
forthwith	bvela khagala; 
forum	foramu; 
forums	foramu; 
forward	phanḓa;  u bvisela phanḓa; 
forwarded	rumelwa; 
fossil	masalela; 
foster	bveledza; 
fostering	 unḓa; bveledza; 
fought	nndwa; 
found	thoma; 
foundation	mutheo; 
foundations	mutheo; 
founded	thoma; 
founder	muthomi; 
founding	thoma; 
four	iṋa; 
fourth	vhuṋa; 
frame	fureme; 
framework	muteo; 
frameworks	muteo; muhanga; 
franchise	pfanelo ya u vouta; 
fraternity	mbumbano; 
fraud	vhumenemene; vhufhura; 
fraudulent	zwa vhufhura; zwa vhumenemene; 
free	 vhofholowa; mahala; 
freed	vhofhololwa; 
freedom	mbofholowo;  vhupapadzi; 
freedoms	mbofholowo;  vhupapadzi; 
freely	 nga mahala; vhofholowa; 
freight	muhwalo; 
frequency	frikhwentsi; 
frequently	-ḓala; 
fresh	zwiswa;  zwitete; 
friend	khonani; 
friendly	vhukonani; 
friends	khonani; 
friendship	vhukonani; 
from	 u takuwa;  u bva;  u bva kha; kha; 
front	phanḓa; 
fruit	mutshelo; 
fruitful	bvelelaho;  zwo pfumaho; 
fuel	tshivhaswa; 
fuels	zwivhaswa; 
fulfil	swikela;  fhedzisela;  khunyeledza;  fusha;  phetha; 
fulfill	swikela;  fhedzisela;  khunyeledza;  fusha;  phetha; 
fulfilling	ṱuṱuwedza;  fusha;  takadza; 
full	-ḓala; 
full-time	wa tshoṱhe;  zwa tshoṱhe; 
fully	tshoṱhe;  lwo fhelelaho;  u ḓala nga maanḓa; 
function	 -shuma; mushumo; 
functional	shumaho; 
functionality	mushumo; 
functioning	 shuma; mushumo; 
functions	 shuma; mushumo; 
fund	tshikwama; 
fundamental	 zwa ndeme; zwihulwane; 
fundamentally	zwihuluhulu;  nga maanḓa; 
funded	tshikwama; 
funding	tshikwama; 
funds	masheleni;  lambedza; tshelede; 
funeral	mbulungo; 
furnish	ṋetshedza; 
furnished	ṋetshedzwa; 
furniture	fanitshara; 
further	hafhu;  isa phanḓa; 
furthermore	 nga nṱha ha;  futhi; nahone;  habe; 
future	vhumatshelo;  ḽikhathi ḽa; 
gain	 -wana; bindu; 
gained	wana;  bindu; 
gains	wana;  bindu; 
galleries	tshifhaṱo tsha vhutsila;  vhugalatenga; 
gallery	tshifhaṱo tsha vhutsila;  vhugalatenga; 
gamble	u gembula; 
gambling	gembula; mugembuḽo; 
game	 mutambo; phukha; 
games	mitambo;  phukha dza ḓaka; 
gap	gake; 
gaps	gake; 
garden	ngade; 
gardens	ngade; 
garnishee	muthu o ganishiwaho;  ndaela ya pfaramuholo; 
gas	gese; 
gateway	khoro; 
gather	kuvhangana; 
gathered	kuvhangana; 
gathering	 khunyeleli; muṱangano;  khuvhangano;  tshivhidzo; 
gave	fha;  beba;  ṋea;  ira;  laedza; 
gazette	gurannḓa ya muvhuso; 
geared	gere; 
gender	mbeu; 
gender-based	mbeu; 
general	angaredzwa;  dzhenerala; 
generally	 nga u angaredza; kanzhi; 
generate	bveledza; 
generated	bveledza; 
generating	bveledza; 
generation	murafho;  mubveledzo; 
generations	murafho;  mubveledzo; 
genre	lushaka lwa muzika; 
genres	lushaka lwa muzika; 
gentlemen	ngamula; nzhinga; 
geographic	 ḓivhavhupo; ḓivhashango; 
geographical	zwa ḓivhashango;  -ḓivhashango; 
geography	ḓivhashango; 
get	wana; 
gets	wana; 
getting	wana; 
giant	ḽidzhidzhiriba;  muswonḓa; ḽidzhanzhara; 
gift	mpho;  tshifhiwa; 
girl	musidzana; 
girls	musidzana; 
give	fha;  beba;  ṋea;  ira;  laedza; 
given	-khagala; 
gives	fha;  beba;  ṋea;  ira;  laedza; 
giving	fha;  beba;  ṋea;  ira;  laedza; 
glad	takala; 
glass	ngilasi; 
global	mukatelo;  shango nga vhuphara; 
globally	dzitshaka;  dzitshakatshaka;  mukatelo; 
globe	shango;  khungulu; 
glory	 vhurena; vhugala; 
go	 bvela phanḓa; ya;  enda;  ṱuwa; 
goal	 tshipikwa;  tswikelelo; ndivho;  tshikoro; 
goals	 zwipikwa;  tswikelelo; ndivho;  tshikoro; 
goes	 tshimbila na; ṱuwa; 
going	 u ya; ṱuwa; 
gold	musuku; 
golden	tsha muswuku; zwa maṱhakheni;  zwavhuḓi; 
gone	 enda; ṱuwa; 
good	zwivhuya; tshonakaho;  wavhuḓi;  muvhuya;  luga;  zwavhuḓi; 
goods	thundu;  zwirengwa; 
gore	 u runga nga maṋanga; malofha; 
got	wana; 
govern	vhusa;  -luvhisa; 
governance	ndaulo;  maanḓa;  maanḓalanga; 
governed	 luvhisa; vhusa; 
governing	rena;  luvhisa;  u tshimbidza; vhusa; 
government	muvhuso; 
government's	hulumeni;  zwa muvhuso; 
governments	mivhuso; 
governor	muluvhisi; 
governors	muluvhisi; 
grace	tshilidzi; 
grade	 -nangudza;  nangudza;  munangudzo; murole;  gireidi; 
grades	 nangudza;  munangudzo; murole;  gireidi; 
grading	 nangudza;  munangudzo; murole;  gireidi; 
graduate	u ambara; 
graduates	ambara; mutelwadigirii; 
grand	khulukhulu; yavhuḓivhuḓi; 
grant	mundende;  mphomali; 
granted	mundende;  mphomali; 
granting	mundende;  mphomali; 
grants	mundende;  mphomali; 
graphic	zwifanyiso;  nyolo; 
grass	hatsi; 
grassroots	tshitshavha;  masi;  vhunzhi;  mavhuthu;  ḓowelea;  katela; 
grateful	 ṋeya;  u badela;  u takadza; takalela; livhuha;  tshikolodo; 
gratitude	ndivhuho; 
grave	 tshalo; mavhiḓa; 
graves	 tshalo; mavhiḓa; 
great	 nga maanḓa;  khulu; zwihulwane; 
greater	 muhulwane; khulwane;  zwihulwane; 
greatest	tshihulu; 
greatly	zwihulu; 
green	dala;  -dala; 
greenhouse	nnḓu ya zwiraba; 
greetings	dzindumeliso; 
grew	 ṱavha; aluwa; 
grind	 -kuya; u kuya; 
gross	 goroso; guṱe; 
ground	kuya; 
ground-breaking	tshanduko;  zwiswa;  mathomo; 
groundbreaking	tshanduko;  zwiswa;  mathomo; 
grounds	vhuimo;  mavu; mbanḓe; 
group	tshigwada; 
groups	tshigwada; 
grow	aluwa; 
growing	aluwa;  hula; 
grown	aluwa;  lima; 
growth	nyaluwo; 
guaranteed	khwaṱhisedzo; 
guarantees	khwaṱhisedzo; 
guard	-linda; 
guest	mueni; 
guests	vhaeni; 
guidance	thuso;  nyendedzi; ndendedzi; 
guide	 -sumbedza; gaidi;  -endedza; 
guided	sumbedza;  gaidi;  endedza; 
guideline	thuso;  nyendedzi; ndendedzi; 
guidelines	thuso;  nyendedzi; ndendedzi; 
guides	sumbedza;  gaidi;  endedza; 
guiding	 nyendedzi; sumbedza;  endedza; 
guilt	thendamulandu; 
guilty	-mulandu; 
gun	tshigidi; 
had	na; 
hail	tshifhango; 
hailed	tshifhango; 
hails	tshifhango; 
half	hafu; 
hall	holo; 
hand	lutanda;  tshanḓa; 
handed	lutanda;  tshanḓa; 
handing	lutanda;  tshanḓa; 
handle	mukungelo; 
handled	mukungelo; 
handling	kufarele; 
handover	ṋetshedza; 
hands	 vhutanda; zwanḓa; 
happen	bvelela;  itea; 
happened	bvelela;  itea; 
happening	bvelela;  itea; 
happens	bvelela;  itea; 
happy	takala; 
harassment	 sinyusa;  tovhola; dina; 
hard	konḓa; 
hare	muvhuḓa; 
harm	vhaisa;  huvhadza; 
harmful	 tshinyadzaho; -tshinyadzo; 
harmony	pfano; 
has	na; 
hatred	luvhengela; 
have	vha na; 
having	vha na; 
hazardous	khombo; 
he	ene; 
head	ṱhoho; 
headed	ṱhoho; 
heading	ṱhoho; 
headline	ṱhoho ya mafhungo; 
headlines	ṱhoho dza mafhungo; 
heads	ṱhoho; 
heal	 fhodza; lafha; 
healing	 fhodza; lafha; 
health	mutakalo; 
healthcare	ndondolo ya zwa mutakalo; 
healthy	 -takalaho; u vha na mutakalo; 
hear	 thetshelesa; pfa; 
heard	 thetshelesa; pfa; 
hearing	tsengo;  u pfa; 
hearings	 tsengo; pfa; 
hears	 thetshelesa; pfa; 
heart	 tshivhindi; mbilu; 
heavy	 u lemela; -lemelaho; 
hectare	hekithara; 
hectares	hekithara; 
height	 vhunṱha ha thavha; vhulapfu; 
heights	 vhunṱha ha thavha; vhulapfu; 
held	fara; 
help	 thuso; thusa; 
helped	 thuso; thusa; 
helping	mukanzwo; 
helps	thusa; 
hence	ngeno hu na uri; 
her	ene; mu; 
heraldry	 tshigaṱhalu; ngudo ya tshigaṱhalu; 
here	 henefha;  hafha;  fhano; ngeno; 
hereby	 nga hone; fhano; 
hereinafter	henefha nga murahu; 
heritage	 vhufa; ifa; 
hero	vhuhali;  muhali; 
heroes	 vhahali; vhuhali; 
heroine	muhali; 
heroines	vhahali; 
herself	ene; mu; 
hi	 aa;  ndaa; haḽo; 
hidden	mukumba; 
hide	mukumba; 
hierarchies	 ḽeri; thevhekano;  vhunamelo; 
high	nṱha; 
high-level	vhuimo ha nṱha; 
higher	nṱha;  ndapfu; lapfu; 
highest	nṱha; 
highlight	vhuguma nṱha; maṱhakheni;  lumba;  ndumbo;  zwo sedzwaho; 
highlighted	shugushedza;  nakisa;  nyombedzelo;  ombedzela; muvhala;  khavhisa; 
highlights	vhuguma nṱha; maṱhakheni;  vhukunga vhaendelamashango; 
highly	nṱha;  muhulu;  vhuhulu;  ndapfu; lapfu; 
hill	 tshikwara; muvhundu; 
hills	mivhundu;  zwikwara; 
him	ene; mu; 
himself	ene muṋe; 
his	 dzawe; we;  tshawe;  wawe; 
historians	vhaḓivhazwakale; 
historic	ḓivhazwakale; 
historically	ḓivhazwakale; 
histories	ḓivhazwakale; 
hit	 ninga; rwa;  buḓula; goba; nenga;  dia; 
hold	-fara; 
holder	mudzio; 
holders	mudzio; 
holding	 bulasi;  puloto;  tshiṱoko;  mavu;  vhubindudzi; shango;  ndaka;  tsimu; 
holdings	 ndaka;  thundu; khephithaḽa; tshelede;  lupfumo;  zwiko; 
holds	fara; 
holiday	holodeni; 
holidays	holodeni; 
holistic	zwoṱhe;  katela zwoṱhe;  hoṱhe;  nyangaredzo; 
homage	pfanelo;  luvha;  khuliso;  renda; tsumelo;  nduvho;  hulisa;  ndivhanelo; 
home	hayani; 
homelessness	 tshi sina haya;  mutendeleki; monamona; 
homepage	 ḓiresi;  webusaithi;  vhupo;  faela; fhethu; 
homes	mahaya; 
honorary	 thindelo; tshiga; 
honour	 vhuhwavho;  ṱhompha;  hulisa; khuliso;  ṱhompho; 
honourable	muhulisei; muṱhomphei; 
honoured	 huliswa; ṱhomphiwa; ṱhonifhiwa; 
honouring	 ṱhompha; hulisa; 
honours	mulayo; fulufhedzea;  funza milayo; mikwa; 
hope	fulufhelo; 
hoped	fulufhelo; 
hopefully	 fulufhela;  fhulufhela; fulufhelo; fhulofhelo; 
hopes	fulufhelo; 
hospital	 vhuongelo; sibadela; 
hospitality	mafunda; 
hospitals	 maongelo; zwibadela; 
hosted	ṋemuṱa; 
hosting	ṋemuṱa; 
hosts	ṋemuṱa; 
hotel	hodela; 
hotels	hodela; 
hour	awara;  iri; 
hours	awara;  iri; 
house	nnḓu; 
housed	muzika wa hausu; nnḓu; 
household	muṱa;  muṱani; 
households	muṱa;  muṱani; 
houses	muzika wa hausu; nnḓu; 
housing	vhudzulo;  dzinnḓu; 
how	hani; 
however	fhedziha; 
hub	senthara; 
huge	 zwihulwanesa; khulwanesa; 
human	 -vhathu; muthu;  zwa muthu;  -muthu; 
humane	 mvumbo; vhuthu;  mvelo; 
humanities	vhathu;  tshilidzi;  vhuthu; 
humanity	vhathu;  vhuthu; 
humankind	vhathu;  tshilidzi;  vhuthu; 
humans	vhathu;  zwa muthu;  muthu; 
humble	vhulenda;  ṱukufhala;  ḓiṱukufhadza;  ṱukufhadza;  luvheledza; 
humbled	vhulenda;  ṱukufhala;  ḓiṱukufhadza;  ṱukufhadza;  luvheledza; 
humility	vhuthu; 
hundreds	maḓana; 
husband	 vhamuṱani;  mufarisi; munna; 
iconic	 tshiga;  luswayo; tsumbo; 
icons	ikhoni; 
idea	muhumbulo; 
ideals	thaṋwa; 
ideas	mihumbulo; 
identification	vhufaedzi; 
identified	ṱalusa; 
identifies	ṱalusa; 
identify	ṱalusa; 
identifying	ṱalusa; 
identities	mvumbo; 
identity	mvumbo; 
if	arali; 
ill	lwala;  vhaisala; 
illegal	-iledzwaho; 
illiteracy	u sa kona u vhala na u ṅwala; 
illness	vhulwadze; 
illustrate	-sumbedzela;  -fanyisedza; 
illustrated	 fanyisedza; sumbedzela; 
image	tshifanyiso; 
images	zwifanyiso; 
imagination	vhukonesi vhuhumbulewa;  khumbulelo; 
imbalances	 khethululo; phambano;  sa vha na ndinganelo; 
immediate	mbo ḓi; zwenezwino;  nga u ṱavhanya;  na zwenezwo; 
immediately	mbo ḓi; zwenezwino;  nga u ṱavhanya;  na zwenezwo; 
immensely	huluhulu; tshihulu nga maanḓa; 
immigration	mupfulutshelo; 
imminent	 zwi tsini; zwi ḓo itea zwenezwino; 
immovable	sa sudzuluwi;  zwa tshoṱhe; 
immunisation	nyelulo;  haelwa; 
impact	 maanḓa;  ṱhuṱhuwedzo; kwama;  muya;  khuḓano; 
impacts	 kuḓana; kwama;  dzhenisa muya;  ṱuṱuwedza; 
impaired	holefhala; 
impediments	vhulwadze;  zwithithisi;  vhuholefhali;  zwikundisi; 
imperative	ḽimudi ḽilaeli; 
imperatives	ḽimudi ḽilaeli; 
implement	tevhedza;  tshishumiswa; 
implementation	 shumisa; shuma;  shumiswa; 
implemented	tevhedza;  tshishumiswa; 
implementing	tevhedza;  tshishumiswa; 
implements	tevhedza;  tshishumiswa; 
implications	 mahumbulelwa;  madzinginywa; masiandaitwa; 
implies	 dzinginya; amba;  sumba; 
import	 u ṱunḓa; -ṱunḓa; 
importance	ndeme; 
important	ndeme; 
importantly	 zwa ndeme; zwihulwane;  zwa vhuṱhogwa; 
imported	ṱunḓa; zwiṱundwa; 
importer	muṱunḓi; 
imports	ṱunḓa; zwiṱundwa; 
impose	 fhura; tea;  vhofha;  laedza; 
imposed	 fhura; tea;  vhofha;  laedza; 
imposing	 fhura; tea;  vhofha;  laedza; 
imposition	 sinyusa;  tswenya;  muhwalo; kombetshedza;  dina; 
impossible	 zwi sa konadzei; zwi konḓaho; 
impressed	gadiswa;  khwaṱhiswa; shushedzwa;  takadzwa;  tshuwiswa; 
impressive	 fhura; ṱuṱuwedza;  nyanyula;  takadza; 
imprison	valela; 
imprisoned	valela; 
imprisonment	 tshigwevho; valela;  dzheniswa ṱironngoni; 
improper	 sa fhulufhedzea; sa ṱanganedzei;  songo fanelaho;  siho mulayoni; khakheaho; 
improve	-khwinisa; 
improved	kwinisa; khwinisa; 
improvement	khwiniso; 
improvements	khwiniso; 
improving	kwinisa; khwinisa; 
in	kha; 
inability	 sa vha na vhukoni;  balelwa; kundelwa;  sa vha na maanḓa; shaya fhulufhelo; 
inadequate	 songo linganaho; ṱahelaho;  sa fushiho; 
inappropriate	 sa fhulufhedzea; sa ṱanganedzei;  songo fanelaho;  siho mulayoni; khakheaho; 
inaugural	 ḓivhadza;  vula; thoma; 
inauguration	u rwelwa ṱari; 
incapable	 sa vha na vhukoni;  balelwa; kundelwa;  sa vha na maanḓa; shaya fhulufhelo; 
incapacity	 sa vha na vhukoni;  balelwa; kundelwa;  sa vha na maanḓa; shaya fhulufhelo; 
incarceration	 tshigwevho; valela;  dzheniswa ṱironngoni; 
incentive	tshiṱuṱuwedzi;  -ṱuṱuwedzaho; 
incentives	zwiṱuṱuwedzi; zwiṱuṱuwedzaho; 
inception	ḓivhadzwani; thomani;  rangani; 
incidence	tshiwo; 
incident	 tshiwo; khombo; 
incidental	sokou itea; 
incidents	khombo;  zwiwo; 
include	katela;  -katela; 
included	katela; 
includes	katela; 
including	-katelwa; 
inclusion	mukatelo; 
inclusive	 angalala;  fhelelaho; katela;  nyangaredzi;  angaredza;  ṱanḓavhuwa; 
inclusivity	 vhukateli;  sa khethululi; nyangaredzi;  ṱanḓavhuwaho; 
income	mbuelo; 
incomes	mbuelo; 
incomplete	 songo fhelelaho;  tshipiḓa; ṱahela; 
incorporate	-vhumbekanya; 
incorporated	vhumbekanya; 
incorporates	vhumbekanya; 
incorporation	mbumbano; mbumbekano;  ṱhanganelo;  ṱhanganelano;  milwa; 
incorrect	zwo khakheaho; 
increase	engedza; 
increased	engedza; 
increases	engedza; 
increasing	engedza; 
increasingly	 andisa;  anda;  ṋaṋisa;  anza; muengedzo; 
inculcate	ṱuṱuwedza;  funza;  gudisa; pfumbudza;  ḓivhadza;  ḓadza; 
incurred	 ṱanganiwaho; lozwiwaho; wanalaho; kungiwaho; 
indaba	khoro; 
indeed	vhukuma;  ngoho; 
independence	vhuḓilangi; 
independent	-ḓilangaho; 
independently	 ḓilangaho;  ḓiimisa; nga woṱhe; 
index	tsumbamafhungo; 
indicate	 u sumbedza; -sumba; 
indicated	sumbedza;  sumba; 
indicates	sumbedza;  sumba; 
indicating	sumbedza;  sumba; 
indication	 tsumbedzo;  tshisumbi;  ngafhadzo; tsumbo; 
indications	 tsumbedzo;  tshisumbi;  ngafhadzo; tsumbo; 
indicative	 tsumbedzo;  tshisumbi;  ngafhadzo; tsumbo; 
indicator	 tshieli; tshisumbi;  indikheitha; 
indicators	 indikheitha; zwisumbi; zwieli; 
indices	tsumbi; tsumbamafhungo; 
indigenous	zwa iḽo shango; 
indirect	-vhumone; 
indirectly	 vhumone; songo livhaho; 
individual	 -muthihi; muthu; 
individually	nga muthihi;  nga tshithihi; 
individuals	vhathu; 
industrial	zwa feme; 
industries	mushumo;  nḓowetshumo; 
industry	mushumo;  nḓowetshumo; 
inequalities	 khethululo; phambano;  sa vha na ndinganelo; 
inequality	 khethululo; phambano;  sa vha na ndinganelo; 
infected	u pfukiselwa; 
infection	 u kavhiwa;  phirelo ya malwadze;  phirela; vhulwadze; 
infections	 kavhiwa;  phirelo ya malwadze;  phirela; vhulwadze; 
inferior	 fhasi ha muṅwe muthu;  zwiṱoma; zwiṱuku; 
inflows	swika;  ha u dzhena; 
